"","cells","clust_assign"
"1","mouse2_lib1.final_cell_0001","beta"
"2","mouse2_lib1.final_cell_0002","beta"
"3","mouse2_lib1.final_cell_0003","beta"
"4","mouse2_lib1.final_cell_0004","ductal"
"5","mouse2_lib1.final_cell_0005","beta"
"6","mouse2_lib1.final_cell_0006","beta"
"7","mouse2_lib1.final_cell_0007","beta"
"8","mouse2_lib1.final_cell_0008","beta"
"9","mouse2_lib1.final_cell_0009","delta"
"10","mouse2_lib1.final_cell_0010","beta"
"11","mouse2_lib1.final_cell_0011","beta"
"12","mouse2_lib1.final_cell_0012","beta"
"13","mouse2_lib1.final_cell_0013","alpha"
"14","mouse2_lib1.final_cell_0014","delta"
"15","mouse2_lib1.final_cell_0015","beta"
"16","mouse2_lib1.final_cell_0016","beta"
"17","mouse2_lib1.final_cell_0017","beta"
"18","mouse2_lib1.final_cell_0018","beta"
"19","mouse2_lib1.final_cell_0019","beta"
"20","mouse2_lib1.final_cell_0020","beta"
"21","mouse2_lib1.final_cell_0021","beta"
"22","mouse2_lib1.final_cell_0022","beta"
"23","mouse2_lib1.final_cell_0023","beta"
"24","mouse2_lib1.final_cell_0024","alpha"
"25","mouse2_lib1.final_cell_0025","beta"
"26","mouse2_lib1.final_cell_0026","beta"
"27","mouse2_lib1.final_cell_0027","beta"
"28","mouse2_lib1.final_cell_0028","beta"
"29","mouse2_lib1.final_cell_0029","beta"
"30","mouse2_lib1.final_cell_0030","ductal"
"31","mouse2_lib1.final_cell_0031","beta"
"32","mouse2_lib1.final_cell_0032","beta"
"33","mouse2_lib1.final_cell_0033","delta"
"34","mouse2_lib1.final_cell_0034","delta"
"35","mouse2_lib1.final_cell_0035","alpha"
"36","mouse2_lib1.final_cell_0036","beta"
"37","mouse2_lib1.final_cell_0037","alpha"
"38","mouse2_lib1.final_cell_0038","beta"
"39","mouse2_lib1.final_cell_0039","gamma"
"40","mouse2_lib1.final_cell_0040","delta"
"41","mouse2_lib1.final_cell_0041","beta"
"42","mouse2_lib1.final_cell_0042","delta"
"43","mouse2_lib1.final_cell_0043","beta"
"44","mouse2_lib1.final_cell_0044","delta"
"45","mouse2_lib1.final_cell_0045","delta"
"46","mouse2_lib1.final_cell_0046","beta"
"47","mouse2_lib1.final_cell_0047","beta"
"48","mouse2_lib1.final_cell_0048","alpha"
"49","mouse2_lib1.final_cell_0049","beta"
"50","mouse2_lib1.final_cell_0050","beta"
"51","mouse2_lib1.final_cell_0051","beta"
"52","mouse2_lib1.final_cell_0052","beta"
"53","mouse2_lib1.final_cell_0053","alpha"
"54","mouse2_lib1.final_cell_0054","beta"
"55","mouse2_lib1.final_cell_0055","beta"
"56","mouse2_lib1.final_cell_0056","alpha"
"57","mouse2_lib1.final_cell_0057","beta"
